source,target,weight,source_name,target_name,edge_type
Cap.16,Cap.9,12,Civil Code,Criminal Code,CROSS_REFERENCE
Cap.161,Cap.330,1,Local Loans (Registered Stock and Securities) Ordi,Malta Financial Services Authority Act,CROSS_REFERENCE
Cap.161,Cap.345,1,Local Loans (Registered Stock and Securities) Ordi,Financial Markets Act,CROSS_REFERENCE
Cap.164,Cap.12,1,Police Act,Code of Organization and Civil Procedure,CROSS_REFERENCE
Cap.164,Cap.16,3,Police Act,Civil Code,CROSS_REFERENCE
Cap.164,Cap.318,3,Police Act,Social Security Act,CROSS_REFERENCE
Cap.164,Cap.377,1,Police Act,Professional Secrecy Act,CROSS_REFERENCE
Cap.164,Cap.386,1,Police Act,Companies Act,CROSS_REFERENCE
Cap.164,Cap.460,1,Police Act,European Union Act,CROSS_REFERENCE
Cap.164,Cap.527,1,Police Act,Protection of the Whistleblower Act,CROSS_REFERENCE
Cap.164,Cap.549,1,Police Act,Environment Protection Act,CROSS_REFERENCE
Cap.164,Cap.552,1,Police Act,Development Planning Act,CROSS_REFERENCE
Cap.164,Cap.595,2,Police Act,Public Administration Act,CROSS_REFERENCE
Cap.164,Cap.9,9,Police Act,Criminal Code,CROSS_REFERENCE
Cap.204,Cap.12,1,Central Bank of Malta Act,Code of Organization and Civil Procedure,CROSS_REFERENCE
Cap.204,Cap.345,1,Central Bank of Malta Act,Financial Markets Act,CROSS_REFERENCE
Cap.204,Cap.371,2,Central Bank of Malta Act,Banking Act,CROSS_REFERENCE
Cap.204,Cap.376,1,Central Bank of Malta Act,Financial Institutions Act,CROSS_REFERENCE
Cap.204,Cap.460,1,Central Bank of Malta Act,European Union Act,CROSS_REFERENCE
Cap.217,Cap.12,5,Immigration Act,Code of Organization and Civil Procedure,CROSS_REFERENCE
Cap.217,Cap.602,1,Immigration Act,Minor Protection (Alternative Care) Act,CROSS_REFERENCE
Cap.217,Cap.625,1,Immigration Act,Exclusive Economic Zone Act,CROSS_REFERENCE
Cap.217,Cap.9,2,Immigration Act,Criminal Code,CROSS_REFERENCE
Cap.234,Cap.12,6,Merchant Shipping Act,Code of Organization and Civil Procedure,CROSS_REFERENCE
Cap.234,Cap.13,3,Merchant Shipping Act,Commercial Code,CROSS_REFERENCE
Cap.234,Cap.16,6,Merchant Shipping Act,Civil Code,CROSS_REFERENCE
Cap.234,Cap.318,1,Merchant Shipping Act,Social Security Act,CROSS_REFERENCE
Cap.234,Cap.331,1,Merchant Shipping Act,Trusts and Trustees Act,CROSS_REFERENCE
Cap.234,Cap.386,6,Merchant Shipping Act,Companies Act,CROSS_REFERENCE
Cap.234,Cap.499,2,Merchant Shipping Act,Authority for Transport in Malta Act,CROSS_REFERENCE
Cap.234,Cap.9,4,Merchant Shipping Act,Criminal Code,CROSS_REFERENCE
Cap.249,Cap.16,2,Interpretation Act,Civil Code,CROSS_REFERENCE
Cap.249,Cap.460,2,Interpretation Act,European Union Act,CROSS_REFERENCE
Cap.258,Cap.217,9,Identity Card and other Identity Documents Act,Immigration Act,CROSS_REFERENCE
Cap.258,Cap.490,3,Identity Card and other Identity Documents Act,Administrative Justice Act,CROSS_REFERENCE
Cap.258,Cap.586,1,Identity Card and other Identity Documents Act,Data Protection Act,CROSS_REFERENCE
Cap.258,Cap.9,1,Identity Card and other Identity Documents Act,Criminal Code,CROSS_REFERENCE
Cap.276,Cap.446,1,Extradition Act,Probation Act,CROSS_REFERENCE
Cap.276,Cap.9,4,Extradition Act,Criminal Code,CROSS_REFERENCE
Cap.281,Cap.386,7,Accountancy Profession Act,Companies Act,CROSS_REFERENCE
Cap.281,Cap.451,1,Accountancy Profession Act,Mutual Recognition of Qualifications Act,CROSS_REFERENCE
Cap.281,Cap.490,1,Accountancy Profession Act,Administrative Justice Act,CROSS_REFERENCE
Cap.281,Cap.9,1,Accountancy Profession Act,Criminal Code,CROSS_REFERENCE
Cap.291,Cap.101,4,Commissioners for Justice Act,Dangerous Drugs Ordinance,CROSS_REFERENCE
Cap.291,Cap.12,2,Commissioners for Justice Act,Code of Organization and Civil Procedure,CROSS_REFERENCE
Cap.291,Cap.249,1,Commissioners for Justice Act,Interpretation Act,CROSS_REFERENCE
Cap.291,Cap.31,4,Commissioners for Justice Act,Medical and Kindred Professions Ordinance,CROSS_REFERENCE
Cap.291,Cap.354,1,Commissioners for Justice Act,General Elections Act,CROSS_REFERENCE
Cap.291,Cap.363,3,Commissioners for Justice Act,Local Government Act,CROSS_REFERENCE
Cap.291,Cap.537,2,Commissioners for Justice Act,Drug Dependence (Treatment not Imprisonment) Act,CROSS_REFERENCE
Cap.291,Cap.9,6,Commissioners for Justice Act,Criminal Code,CROSS_REFERENCE
Cap.31,Cap.101,21,Medical and Kindred Professions Ordinance,Dangerous Drugs Ordinance,CROSS_REFERENCE
Cap.31,Cap.446,4,Medical and Kindred Professions Ordinance,Probation Act,CROSS_REFERENCE
Cap.31,Cap.9,5,Medical and Kindred Professions Ordinance,Criminal Code,CROSS_REFERENCE
Cap.318,Cap.12,6,Social Security Act,Code of Organization and Civil Procedure,CROSS_REFERENCE
Cap.318,Cap.123,3,Social Security Act,Income Tax Act,CROSS_REFERENCE
Cap.318,Cap.16,10,Social Security Act,Civil Code,CROSS_REFERENCE
Cap.318,Cap.249,1,Social Security Act,Interpretation Act,CROSS_REFERENCE
Cap.318,Cap.372,1,Social Security Act,Income Tax Management Act,CROSS_REFERENCE
Cap.318,Cap.403,1,Social Security Act,Insurance Business Act,CROSS_REFERENCE
Cap.318,Cap.442,1,Social Security Act,Co-operative Societies Act,CROSS_REFERENCE
Cap.318,Cap.452,23,Social Security Act,Employment and Industrial Relations Act,CROSS_REFERENCE
Cap.318,Cap.514,2,Social Security Act,Retirement Pensions Act,CROSS_REFERENCE
Cap.318,Cap.58,1,Social Security Act,Widows' and Orphans' Pensions Act,CROSS_REFERENCE
Cap.318,Cap.594,13,Social Security Act,Employment and Training Services Act,CROSS_REFERENCE
Cap.318,Cap.601,2,Social Security Act,Public Finance Management Act,CROSS_REFERENCE
Cap.318,Cap.602,1,Social Security Act,Minor Protection (Alternative Care) Act,CROSS_REFERENCE
Cap.318,Cap.605,2,Social Security Act,Education Act,CROSS_REFERENCE
Cap.318,Cap.614,2,Social Security Act,Cohabitation Act,CROSS_REFERENCE
Cap.318,Cap.9,7,Social Security Act,Criminal Code,CROSS_REFERENCE
Cap.325,Cap.123,15,Business Promotion Act,Income Tax Act,CROSS_REFERENCE
Cap.325,Cap.158,1,Business Promotion Act,Housing (Decontrol) Ordinance,CROSS_REFERENCE
Cap.325,Cap.16,1,Business Promotion Act,Civil Code,CROSS_REFERENCE
Cap.325,Cap.204,2,Business Promotion Act,Central Bank of Malta Act,CROSS_REFERENCE
Cap.325,Cap.217,2,Business Promotion Act,Immigration Act,CROSS_REFERENCE
Cap.325,Cap.364,2,Business Promotion Act,Duty on Documents and Transfers Act,CROSS_REFERENCE
Cap.325,Cap.386,8,Business Promotion Act,Companies Act,CROSS_REFERENCE
Cap.325,Cap.490,1,Business Promotion Act,Administrative Justice Act,CROSS_REFERENCE
Cap.325,Cap.625,1,Business Promotion Act,Exclusive Economic Zone Act,CROSS_REFERENCE
Cap.327,Cap.12,1,Education Act,Code of Organization and Civil Procedure,CROSS_REFERENCE
Cap.327,Cap.451,3,Education Act,Mutual Recognition of Qualifications Act,CROSS_REFERENCE
Cap.327,Cap.490,2,Education Act,Administrative Justice Act,CROSS_REFERENCE
Cap.327,Cap.58,5,Education Act,Widows' and Orphans' Pensions Act,CROSS_REFERENCE
Cap.327,Cap.9,1,Education Act,Criminal Code,CROSS_REFERENCE
Cap.327,Cap.93,5,Education Act,Pensions Ordinance,CROSS_REFERENCE
Cap.330,Cap.12,3,Malta Financial Services Authority Act,Code of Organization and Civil Procedure,CROSS_REFERENCE
Cap.330,Cap.403,2,Malta Financial Services Authority Act,Insurance Business Act,CROSS_REFERENCE
Cap.330,Cap.460,1,Malta Financial Services Authority Act,European Union Act,CROSS_REFERENCE
Cap.330,Cap.601,1,Malta Financial Services Authority Act,Public Finance Management Act,CROSS_REFERENCE
Cap.330,Cap.9,1,Malta Financial Services Authority Act,Criminal Code,CROSS_REFERENCE
Cap.331,Cap.12,6,Trusts and Trustees Act,Code of Organization and Civil Procedure,CROSS_REFERENCE
Cap.331,Cap.16,7,Trusts and Trustees Act,Civil Code,CROSS_REFERENCE
Cap.331,Cap.330,5,Trusts and Trustees Act,Malta Financial Services Authority Act,CROSS_REFERENCE
Cap.331,Cap.345,3,Trusts and Trustees Act,Financial Markets Act,CROSS_REFERENCE
Cap.331,Cap.370,4,Trusts and Trustees Act,Investment Services Act,CROSS_REFERENCE
Cap.331,Cap.371,1,Trusts and Trustees Act,Banking Act,CROSS_REFERENCE
Cap.331,Cap.377,1,Trusts and Trustees Act,Professional Secrecy Act,CROSS_REFERENCE
Cap.331,Cap.386,1,Trusts and Trustees Act,Companies Act,CROSS_REFERENCE
Cap.331,Cap.403,1,Trusts and Trustees Act,Insurance Business Act,CROSS_REFERENCE
Cap.331,Cap.487,1,Trusts and Trustees Act,Insurance Distribution Act,CROSS_REFERENCE
Cap.331,Cap.514,4,Trusts and Trustees Act,Retirement Pensions Act,CROSS_REFERENCE
Cap.331,Cap.529,3,Trusts and Trustees Act,Company Service Providers Act,CROSS_REFERENCE
Cap.331,Cap.55,3,Trusts and Trustees Act,Notarial Profession and Notarial Archives Act,CROSS_REFERENCE
Cap.331,Cap.9,1,Trusts and Trustees Act,Criminal Code,CROSS_REFERENCE
Cap.345,Cap.12,2,Financial Markets Act,Code of Organization and Civil Procedure,CROSS_REFERENCE
Cap.345,Cap.204,2,Financial Markets Act,Central Bank of Malta Act,CROSS_REFERENCE
Cap.345,Cap.281,1,Financial Markets Act,Accountancy Profession Act,CROSS_REFERENCE
